continent,reg1,reg2,country,exp_pct_gdp,exp_public_pct,exp_out_pocket,exp_per_capita,exp_per_ppp,ext_health_exp,phys_per_1000,nurse_per_1000,surgical_per_1000,birth_reg,death_reg
North America,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,6.5,52.8,40.1,1063.8,2180.5,0.1,2.7,3.5,30.9,97,85
Africa,,Northern Africa,Tunisia,7,56.6,39.9,256.5,806.3,0.1,1.3,2.6,11.5,99,37
Asia,,Western Asia,Turkey,4.3,78.4,16.5,468.6,1089.2,,1.8,2.6,47.6,99,78
Africa,Sub-Saharan Africa,Eastern Africa,Uganda,6.2,16.6,40.3,37.6,117.1,40.4,0.1,0.6,1.1,32.2,
Europe,,Eastern Europe,Ukraine,6.7,42.4,54.3,141.2,534.2,0.8,3,7.1,86.6,100,99
Asia,,Western Asia,United Arab Emirates,3.5,72.5,18.6,1323.1,2546.2,0,2.4,5.6,,100,87
Europe,,Northern Europe,United Kingdom,9.8,80.2,15.1,3958,4177.8,0,2.8,8.3,133.3,100,100
North America,Northern America,Northern America,US,17.1,81.8,11.1,9869.7,9869.7,0,2.6,8.6,54.7,100,98
South America,Latin America and the Caribbean,South America,Uruguay,9.1,71.7,17.4,1379.1,1958.9,0,5,1.9,38.9,100,99
Asia,,Central Asia,Uzbekistan,6.3,46.1,52.2,135.1,416.9,1.2,2.4,12.1,50.4,,
South America,Latin America and the Caribbean,South America,Venezuela,3.2,24.1,40,1578.4,940,0,,,18.1,81,100
Asia,,South-eastern Asia,Vietnam,5.7,47.4,44.6,122.8,356.3,2.3,0.8,1.4,,96,
Africa,Sub-Saharan Africa,Eastern Africa,Zambia,4.5,38.3,12.1,56.5,175.2,42.5,0.1,0.9,1.5,11.3,
Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe,9.4,46.5,21.2,93.9,185,25.4,0.1,1.2,1.6,38,
