,date,variable,value
541,7/17/21,Brazil,34339
542,7/18/21,Brazil,34126
543,7/19/21,Brazil,15271
544,7/20/21,Brazil,27592
545,7/21/21,Brazil,54517
546,7/22/21,Brazil,49757
547,7/23/21,Brazil,108732
548,7/24/21,Brazil,38091
549,7/25/21,Brazil,18129
550,7/26/21,Brazil,18999
551,7/27/21,Brazil,41411
552,7/28/21,Brazil,48013
553,7/29/21,Brazil,42283
554,7/30/21,Brazil,40904
555,7/31/21,Brazil,37582
556,8/1/21,Brazil,20503
557,8/2/21,Brazil,15143
558,8/3/21,Brazil,32316
559,8/4/21,Brazil,40716
560,8/5/21,Brazil,40054
561,8/6/21,Brazil,42159
562,8/7/21,Brazil,43033
563,8/8/21,Brazil,13893
564,8/9/21,Brazil,12085
565,8/10/21,Brazil,34885
566,8/11/21,Brazil,32443
567,8/12/21,Brazil,39982
568,8/13/21,Brazil,33933
569,8/14/21,Brazil,31142
570,8/15/21,Brazil,13957
571,8/16/21,Brazil,14471
572,8/17/21,Brazil,37613
573,8/18/21,Brazil,41714
574,8/19/21,Brazil,36315
575,8/20/21,Brazil,33887
576,8/21/21,Brazil,28388
577,8/22/21,Brazil,14404
578,8/23/21,Brazil,13103
579,8/24/21,Brazil,30872
580,8/25/21,Brazil,30671
581,8/26/21,Brazil,31024
582,8/27/21,Brazil,27345
583,8/28/21,Brazil,24699
584,8/29/21,Brazil,13210
585,8/30/21,Brazil,10466
586,1/23/20,India,0
587,1/24/20,India,0
588,1/25/20,India,0
589,1/26/20,India,0
590,1/27/20,India,0
591,1/28/20,India,0
592,1/29/20,India,0
593,1/30/20,India,1
594,1/31/20,India,0
595,2/1/20,India,0
596,2/2/20,India,1
597,2/3/20,India,1
598,2/4/20,India,0
599,2/5/20,India,0
600,2/6/20,India,0
601,2/7/20,India,0
602,2/8/20,India,0
603,2/9/20,India,0
604,2/10/20,India,0
605,2/11/20,India,0
606,2/12/20,India,0
607,2/13/20,India,0
608,2/14/20,India,0
609,2/15/20,India,0
610,2/16/20,India,0
611,2/17/20,India,0
612,2/18/20,India,0
613,2/19/20,India,0
614,2/20/20,India,0
615,2/21/20,India,0
616,2/22/20,India,0
617,2/23/20,India,0
618,2/24/20,India,0
619,2/25/20,India,0
620,2/26/20,India,0
621,2/27/20,India,0
622,2/28/20,India,0
623,2/29/20,India,0
624,3/1/20,India,0
625,3/2/20,India,2
626,3/3/20,India,0
627,3/4/20,India,23
628,3/5/20,India,2
629,3/6/20,India,1
630,3/7/20,India,3
631,3/8/20,India,5
632,3/9/20,India,4
633,3/10/20,India,13
634,3/11/20,India,6
635,3/12/20,India,11
636,3/13/20,India,9
637,3/14/20,India,20
638,3/15/20,India,11
639,3/16/20,India,6
640,3/17/20,India,23
641,3/18/20,India,14
642,3/19/20,India,38
643,3/20/20,India,50
644,3/21/20,India,86
645,3/22/20,India,66
646,3/23/20,India,103
647,3/24/20,India,37
648,3/25/20,India,121
649,3/26/20,India,70
650,3/27/20,India,160
651,3/28/20,India,100
652,3/29/20,India,37
653,3/30/20,India,227
654,3/31/20,India,146
655,4/1/20,India,601
656,4/2/20,India,545
657,4/3/20,India,24
658,4/4/20,India,515
659,4/5/20,India,506
660,4/6/20,India,1190
661,4/7/20,India,533
662,4/8/20,India,605
663,4/9/20,India,809
664,4/10/20,India,873
665,4/11/20,India,848
666,4/12/20,India,759
667,4/13/20,India,1248
668,4/14/20,India,1034
669,4/15/20,India,835
670,4/16/20,India,1108
671,4/17/20,India,922
672,4/18/20,India,1370
673,4/19/20,India,1893
674,4/20/20,India,924
675,4/21/20,India,1541
676,4/22/20,India,1290
677,4/23/20,India,1707
678,4/24/20,India,1453
679,4/25/20,India,1753
680,4/26/20,India,1607
681,4/27/20,India,1561
682,4/28/20,India,1873
683,4/29/20,India,1738
684,4/30/20,India,1801
685,5/1/20,India,2394
686,5/2/20,India,2442
687,5/3/20,India,2806
688,5/4/20,India,3932
689,5/5/20,India,2963
690,5/6/20,India,3587
691,5/7/20,India,3364
692,5/8/20,India,3344
693,5/9/20,India,3113
694,5/10/20,India,4353
695,5/11/20,India,3607
696,5/12/20,India,3524
697,5/13/20,India,3763
698,5/14/20,India,3942
699,5/15/20,India,3787
700,5/16/20,India,4864
701,5/17/20,India,5050
702,5/18/20,India,4630
703,5/19/20,India,6147
704,5/20/20,India,5553
705,5/21/20,India,6198
706,5/22/20,India,6568
707,5/23/20,India,6629
708,5/24/20,India,7113
709,5/25/20,India,6414
710,5/26/20,India,5843
711,5/27/20,India,7293
712,5/28/20,India,7300
713,5/29/20,India,8105
714,5/30/20,India,8336
715,5/31/20,India,8782
716,6/1/20,India,7761
717,6/2/20,India,8821
718,6/3/20,India,9633
719,6/4/20,India,9889
720,6/5/20,India,9471
721,6/6/20,India,10438
722,6/7/20,India,10864
723,6/8/20,India,8442
724,6/9/20,India,10218
725,6/10/20,India,10459
726,6/11/20,India,10930
727,6/12/20,India,11458
728,6/13/20,India,11929
729,6/14/20,India,11502
730,6/15/20,India,10667
731,6/16/20,India,10974
732,6/17/20,India,12881
733,6/18/20,India,13586
734,6/19/20,India,14516
735,6/20/20,India,15403
736,6/21/20,India,14831
737,6/22/20,India,14933
738,6/23/20,India,15968
739,6/24/20,India,16922
740,6/25/20,India,17296
741,6/26/20,India,18552
742,6/27/20,India,19906
743,6/28/20,India,19459
744,6/29/20,India,18522
745,6/30/20,India,18641
746,7/1/20,India,19160
747,7/2/20,India,20903
748,7/3/20,India,22771
749,7/4/20,India,24850
750,7/5/20,India,24248
751,7/6/20,India,22251
752,7/7/20,India,22753
753,7/8/20,India,24879
754,7/9/20,India,26506
755,7/10/20,India,27114
756,7/11/20,India,28606
757,7/12/20,India,28732
758,7/13/20,India,28498
759,7/14/20,India,29429
760,7/15/20,India,32676
761,7/16/20,India,34975
762,7/17/20,India,35252
763,7/18/20,India,38697
764,7/19/20,India,40425
765,7/20/20,India,37132
766,7/21/20,India,37740
767,7/22/20,India,45720
768,7/23/20,India,49310
769,7/24/20,India,48916
770,7/25/20,India,48611
771,7/26/20,India,49981
772,7/27/20,India,44457
773,7/28/20,India,51596
774,7/29/20,India,50294
775,7/30/20,India,52783
776,7/31/20,India,61242
777,8/1/20,India,54735
778,8/2/20,India,52972
779,8/3/20,India,52050
780,8/4/20,India,52509
781,8/5/20,India,56282
782,8/6/20,India,62538
783,8/7/20,India,61537
784,8/8/20,India,64399
785,8/9/20,India,62064
786,8/10/20,India,53601
787,8/11/20,India,60963
788,8/12/20,India,66999
789,8/13/20,India,64553
790,8/14/20,India,64732
791,8/15/20,India,64030
792,8/16/20,India,57711
793,8/17/20,India,55018
794,8/18/20,India,64572
795,8/19/20,India,69672
796,8/20/20,India,68900
797,8/21/20,India,69876
798,8/22/20,India,69239
799,8/23/20,India,61408
800,8/24/20,India,60975
801,8/25/20,India,57224
802,8/26/20,India,85687
803,8/27/20,India,77266
804,8/28/20,India,76472
805,8/29/20,India,78761
806,8/30/20,India,78512
807,8/31/20,India,69921
808,9/1/20,India,78357
809,9/2/20,India,83883
810,9/3/20,India,83341
811,9/4/20,India,86432
812,9/5/20,India,90632
813,9/6/20,India,90802
814,9/7/20,India,75809
815,9/8/20,India,89706
816,9/9/20,India,95735
817,9/10/20,India,96551
818,9/11/20,India,97570
819,9/12/20,India,94372
820,9/13/20,India,92071
821,9/14/20,India,83809
822,9/15/20,India,90123
823,9/16/20,India,97894
824,9/17/20,India,96424
825,9/18/20,India,93337
826,9/19/20,India,92605
827,9/20/20,India,86961
828,9/21/20,India,75083
829,9/22/20,India,83347
830,9/23/20,India,86508
831,9/24/20,India,86052
832,9/25/20,India,85362
833,9/26/20,India,88600
834,9/27/20,India,82170
835,9/28/20,India,70589
836,9/29/20,India,80472
837,9/30/20,India,86821
838,10/1/20,India,81484
839,10/2/20,India,79476
840,10/3/20,India,75829
841,10/4/20,India,74442
842,10/5/20,India,61267
843,10/6/20,India,72049
844,10/7/20,India,78524
845,10/8/20,India,70496
846,10/9/20,India,73272
847,10/10/20,India,74383
848,10/11/20,India,66732
849,10/12/20,India,55342
850,10/13/20,India,63509
851,10/14/20,India,67708
852,10/15/20,India,63371
853,10/16/20,India,62212
854,10/17/20,India,61871
855,10/18/20,India,55722
856,10/19/20,India,46790
857,10/20/20,India,54044
858,10/21/20,India,55839
859,10/22/20,India,54366
860,10/23/20,India,53370
861,10/24/20,India,50129
862,10/25/20,India,45148
863,10/26/20,India,36470
864,10/27/20,India,43893
865,10/28/20,India,49881
866,10/29/20,India,48648
867,10/30/20,India,48268
868,10/31/20,India,46963
869,11/1/20,India,45231
870,11/2/20,India,38310
871,11/3/20,India,46253
872,11/4/20,India,50210
873,11/5/20,India,47638
874,11/6/20,India,50356
875,11/7/20,India,45674
876,11/8/20,India,45903
877,11/9/20,India,38073
878,11/10/20,India,44281
879,11/11/20,India,47905
880,11/12/20,India,44879
881,11/13/20,India,44684
882,11/14/20,India,41100
883,11/15/20,India,30548
884,11/16/20,India,29163
885,11/17/20,India,38617
886,11/18/20,India,45576
887,11/19/20,India,45882
888,11/20/20,India,46232
889,11/21/20,India,45209
890,11/22/20,India,44059
891,11/23/20,India,37975
892,11/24/20,India,44376
893,11/25/20,India,44489
894,11/26/20,India,43082
895,11/27/20,India,41322
896,11/28/20,India,41810
897,11/29/20,India,38772
898,11/30/20,India,31118
899,12/1/20,India,36604
900,12/2/20,India,35551
901,12/3/20,India,36595
902,12/4/20,India,36652
903,12/5/20,India,36011
904,12/6/20,India,32981
905,12/7/20,India,26567
906,12/8/20,India,32080
